2026-08-11 23:09:59,613 | INFO | builtins | Browser closed: Verify website logo
2026-08-11 23:09:59,614 | INFO | builtins | -----------------------------------
2026-08-11 23:09:59,614 | INFO | builtins | Starting Scenario: Verify login popup
2026-08-11 23:10:00,860 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:10:02,951 | INFO | builtins | Scenario PASSED: Verify login popup
2026-08-11 23:10:03,062 | INFO | builtins | Browser closed: Verify login popup
2026-08-11 23:10:03,062 | INFO | builtins | -----------------------------------
2026-08-11 23:10:03,062 | INFO | builtins | Starting Scenario: Invalid login
2026-08-11 23:10:04,323 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:10:06,322 | INFO | builtins | Scenario PASSED: Invalid login
2026-08-11 23:10:06,437 | INFO | builtins | Browser closed: Invalid login
2026-08-11 23:10:06,437 | INFO | builtins | -----------------------------------
2026-08-11 23:10:06,437 | INFO | builtins | Starting Scenario: Verify product details
2026-08-11 23:10:07,678 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:10:08,497 | INFO | builtins | Scenario PASSED: Verify product details
2026-08-11 23:10:08,602 | INFO | builtins | Browser closed: Verify product details
2026-08-11 23:10:08,602 | INFO | builtins | -----------------------------------
2026-08-11 23:10:08,602 | INFO | builtins | Starting Scenario: Add product to cart
2026-08-11 23:10:09,857 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:10:10,674 | INFO | builtins | Scenario PASSED: Add product to cart
2026-08-11 23:10:10,787 | INFO | builtins | Browser closed: Add product to cart
2026-08-11 23:10:10,788 | INFO | builtins | -----------------------------------
2026-08-11 23:10:10,788 | INFO | builtins | Starting Scenario: Search for Milk
2026-08-11 23:10:12,109 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:10:12,997 | INFO | builtins | Scenario PASSED: Search for Milk
2026-08-11 23:10:13,145 | INFO | builtins | Browser closed: Search for Milk
2026-08-11 23:10:13,145 | INFO | builtins | -----------------------------------
2026-08-11 23:10:13,145 | INFO | builtins | Starting Scenario: Search for Rice
2026-08-11 23:10:14,406 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:10:15,215 | INFO | builtins | Scenario PASSED: Search for Rice
2026-08-11 23:10:15,376 | INFO | builtins | Browser closed: Search for Rice
2026-08-11 23:10:15,377 | INFO | builtins | -----------------------------------
2026-08-11 23:10:15,377 | INFO | builtins | Starting Scenario: Search for Biscuit
2026-08-11 23:10:16,819 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:10:17,669 | INFO | builtins | Scenario PASSED: Search for Biscuit
2026-08-11 23:10:17,774 | INFO | builtins | Browser closed: Search for Biscuit
2026-08-11 23:10:17,775 | INFO | builtins | -----------------------------------
2026-08-11 23:10:17,775 | INFO | builtins | Starting Scenario: Search for Egg
2026-08-11 23:10:19,340 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:10:20,143 | INFO | builtins | Scenario PASSED: Search for Egg
2026-08-11 23:10:20,243 | INFO | builtins | Browser closed: Search for Egg
2026-08-11 23:10:20,244 | INFO | builtins | -----------------------------------
2026-08-11 23:10:20,244 | INFO | builtins | Starting Scenario: Search for Cooking Oil
2026-08-11 23:10:21,552 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:10:22,434 | INFO | builtins | Scenario PASSED: Search for Cooking Oil
2026-08-11 23:10:22,536 | INFO | builtins | Browser closed: Search for Cooking Oil
2026-08-11 23:10:22,537 | INFO | builtins | ===================================
2026-08-11 23:10:22,537 | INFO | builtins | BigBasket BDD Test Execution Finished
2026-08-11 23:10:22,537 | INFO | builtins | ===================================
2026-08-11 23:16:31,425 | INFO | builtins | ===================================
2026-08-11 23:16:31,425 | INFO | builtins | BigBasket BDD Test Execution Started
2026-08-11 23:16:31,425 | INFO | builtins | ===================================
2026-08-11 23:16:31,426 | INFO | builtins | -----------------------------------
2026-08-11 23:16:31,426 | INFO | builtins | Starting Scenario: Verify homepage loads successfully
2026-08-11 23:16:33,757 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:16:34,769 | INFO | builtins | Scenario PASSED: Verify homepage loads successfully
2026-08-11 23:16:34,887 | INFO | builtins | Browser closed: Verify homepage loads successfully
2026-08-11 23:16:34,887 | INFO | builtins | -----------------------------------
2026-08-11 23:16:34,887 | INFO | builtins | Starting Scenario: Verify homepage title
2026-08-11 23:16:36,682 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:16:37,592 | INFO | builtins | Scenario PASSED: Verify homepage title
2026-08-11 23:16:37,702 | INFO | builtins | Browser closed: Verify homepage title
2026-08-11 23:16:37,702 | INFO | builtins | -----------------------------------
2026-08-11 23:16:37,702 | INFO | builtins | Starting Scenario: Verify homepage URL
2026-08-11 23:16:39,601 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:16:40,407 | INFO | builtins | Scenario PASSED: Verify homepage URL
2026-08-11 23:16:40,514 | INFO | builtins | Browser closed: Verify homepage URL
2026-08-11 23:16:40,514 | INFO | builtins | -----------------------------------
2026-08-11 23:16:40,514 | INFO | builtins | Starting Scenario: Verify search box
2026-08-11 23:16:42,464 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:16:43,373 | INFO | builtins | Scenario PASSED: Verify search box
2026-08-11 23:16:43,479 | INFO | builtins | Browser closed: Verify search box
2026-08-11 23:16:43,480 | INFO | builtins | -----------------------------------
2026-08-11 23:16:43,480 | INFO | builtins | Starting Scenario: Verify website logo
2026-08-11 23:16:45,379 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:16:46,331 | ERROR | builtins | Scenario FAILED: Verify website logo
2026-08-11 23:16:46,441 | INFO | builtins | Failure screenshot captured for: Verify website logo
2026-08-11 23:16:46,448 | INFO | builtins | Browser closed: Verify website logo
2026-08-11 23:16:46,449 | INFO | builtins | ===================================
2026-08-11 23:16:46,449 | INFO | builtins | BigBasket BDD Test Execution Finished
2026-08-11 23:16:46,449 | INFO | builtins | ===================================
2026-08-11 23:20:40,732 | INFO | builtins | ===================================
2026-08-11 23:20:40,733 | INFO | builtins | BigBasket BDD Test Execution Started
2026-08-11 23:20:40,733 | INFO | builtins | ===================================
2026-08-11 23:20:40,734 | INFO | builtins | -----------------------------------
2026-08-11 23:20:40,734 | INFO | builtins | Starting Scenario: Verify homepage loads successfully
2026-08-11 23:20:43,313 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:20:44,554 | INFO | builtins | Scenario PASSED: Verify homepage loads successfully
2026-08-11 23:20:44,741 | INFO | builtins | Browser closed: Verify homepage loads successfully
2026-08-11 23:20:44,742 | INFO | builtins | -----------------------------------
2026-08-11 23:20:44,742 | INFO | builtins | Starting Scenario: Verify homepage title
2026-08-11 23:20:46,612 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:20:47,539 | INFO | builtins | Scenario PASSED: Verify homepage title
2026-08-11 23:20:47,647 | INFO | builtins | Browser closed: Verify homepage title
2026-08-11 23:20:47,648 | INFO | builtins | -----------------------------------
2026-08-11 23:20:47,648 | INFO | builtins | Starting Scenario: Verify homepage URL
2026-08-11 23:20:49,404 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:20:50,311 | INFO | builtins | Scenario PASSED: Verify homepage URL
2026-08-11 23:20:50,421 | INFO | builtins | Browser closed: Verify homepage URL
2026-08-11 23:20:50,421 | INFO | builtins | -----------------------------------
2026-08-11 23:20:50,421 | INFO | builtins | Starting Scenario: Verify search box
2026-08-11 23:20:52,230 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:20:53,196 | INFO | builtins | Scenario PASSED: Verify search box
2026-08-11 23:20:53,314 | INFO | builtins | Browser closed: Verify search box
2026-08-11 23:20:53,314 | INFO | builtins | -----------------------------------
2026-08-11 23:20:53,314 | INFO | builtins | Starting Scenario: Verify website logo
2026-08-11 23:20:55,233 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:20:55,374 | ERROR | builtins | Scenario FAILED: Verify website logo
2026-08-11 23:20:55,576 | INFO | builtins | Failure screenshot captured for: Verify website logo
